,index,0
545,chicago,121
546,part,725
547,periscope,21
548,mckinsey,25
549,ventures,46
550,founded,113
551,enables,78
552,commercial,230
553,decisions,669
554,uncovering,12
555,platform,944
556,combines,52
557,world,1715
558,intellectual,68
559,property,68
560,prescriptive,26
561,expert,406
562,training,494
563,unique,356
564,combination,109
565,drives,67
566,revenue,192
567,growth,549
568,customer,1223
569,pricing,149
570,category,46
571,powered,83
572,presence,22
573,countries,98
574,professionals,212
575,network,293
576,experts,231
577,learn,689
578,businesses,280
579,continually,54
580,visit,156
581,driven,792
582,thinking,232
583,mobile,294
584,social,339
585,developing,889
586,products,1506
587,integrating,85
588,them,562
589,into,1167
590,shift,36
591,model,640
592,toward,45
593,asset,92
594,consulting,308
595,expands,7
596,investment,298
597,culture,410
598,innovative,675
599,acquisitions,9
600,vibrant,34
601,alliances,6
602,redefining,18
603,what,1133
604,means,147
605,fastest,85
606,parts,43
607,firm,313
608,analysts,241
609,scientists,975
610,hiring,176
611,mathematicians,17
612,designers,66
613,engineers,919
614,managers,289
615,general,169
616,play,131
617,role,1274
618,determine,152
619,structural,10
620,analyzing,393
621,applications,742
622,reviewing,21
623,objectives,160
624,evaluating,83
625,current,246
626,designing,275
627,proposed,24
628,system,497
629,defining,103
630,physical,314
631,structure,78
632,functional,502
633,security,375
634,back,100
635,recovery,10
636,specifications,74
637,install,10
638,flowcharts,2
639,applying,377
640,optimum,5
641,coordinating,36
642,installation,5
643,documents,116
644,actions,71
645,additionally,42
646,maintain,279
647,identifying,162
648,resolving,19
649,application,525
650,calculating,2
651,values,186
652,parameters,32
653,installing,1
654,releases,15
655,completing,32
656,maintenance,114
657,answering,48
658,questions,332
659,coding,212
660,utilities,17
661,responding,13
662,user,544
663,known,62
664,being,236
665,great,450
666,place,207
667,career,274
668,kpmg,519
669,audit,44
670,advisory,41
671,organizations,192
672,today,156
673,industries,116
674,delivering,335
675,real,838
676,enabled,53
677,which,536
678,encourages,30
679,individual,304
680,embraces,26
681,inclusive,123
682,rewards,60
683,excellence,314
684,supports,89
685,qualities,34
686,like,719
687,wonder,11
688,ranked,34
689,among,77
690,companies,432
691,fortune,155
692,magazine,72
693,mother,10
694,diversity,251
695,others,329
696,passionate,378
697,join,789
698,seeking,382
699,senior,602
700,associate,61
701,cognitive,158
702,responsibilities,1135
703,define,335
704,prototype,154
705,needs,610
706,linguistics,53
707,semantic,45
708,retrieval,175
709,probabilistic,67
710,recognition,272
711,deep,1280
712,developer,120
713,subject,201
714,matter,176
715,above,141
716,mentioned,18
717,domains,132
718,establish,100
719,competency,33
720,teams,1529
721,incorporate,33
722,models,2325
723,algorithms,1538
724,offerings,107
725,thought,155
726,eminence,9
727,facing,181
728,activities,199
729,influencing,47
730,executives,100
731,successfully,131
732,launch,95
733,algorithm,193
734,implement,551
735,productize,20
736,project,737
737,specific,255
738,perform,402
739,assets,153
740,tasks,215
741,guiding,34
742,transformation,120
743,automation,159
744,operating,143
745,qualifications,1484
746,minimum,559
747,post,72
748,academic,218
749,preferably,132
750,applied,661
751,statistics,1586
752,mathematics,730
753,physics,301
754,discipline,305
755,specialization,108
756,artificial,372
757,intelligence,733
758,strong,2040
759,mathematical,298
760,background,542
761,least,595
762,fields,322
763,people,1313
764,executing,63
765,independently,211
766,excellent,640
767,verbal,360
768,written,551
769,communication,986
770,diverse,681
771,matrixed,9
772,international,181
773,offers,210
774,compensation,234
775,benefits,696
776,package,234
777,considered,157
778,creed,138
779,ancestry,254
780,citizenship,246
781,mental,196
782,handicap,57
783,unrelated,59
784,pregnancy,169
785,unfavorable,55
786,discharge,68
787,military,149
788,personal,248
789,appearance,60
790,family,234
791,responsibility,193
792,matriculation,57
793,political,135
794,affiliation,98
795,legally,168
796,maintains,90
797,drug,147
798,free,205
799,workplace,234
800,consider,241
801,criminal,189
802,histories,158
803,manner,233
804,consistent,210
805,applicable,252
806,local,291
807,federal,262
808,francisco,312
809,ordinance,116
810,number,152
811,phone,97
812,calls,83
813,agencies,241
814,innovate,112
815,collaborate,595
816,shine,52
817,lighthouse,139
818,center,258
819,here,311
820,sophisticated,144
821,explore,217
822,answers,80
823,limited,213
824,only,340
825,creativity,183
826,leveraging,263
827,vast,122
828,array,109
829,energy,192
830,delivers,98
831,agility,73
832,tech,269
833,startup,218
834,backing,65
835,global,770
836,translates,59
837,chance,162
838,wide,365
839,range,331
840,covering,66
841,power,284
842,bring,366
843,pioneering,77
844,needed,242
845,recommendation,178
846,engines,85
847,spam,47
848,classifiers,78
849,sentiment,98
850,analyzers,21
851,semi,52
852,cluster,93
853,amount,60
854,generated,71
855,content,383
856,amazon,701
857,storm,44
858,spark,667
859,classification,293
860,filtering,77
861,association,45
862,rules,66
863,topic,64
864,series,254
865,regression,359
866,validation,169
867,engagements,130
868,public,368
869,policy,295
870,risk,400
871,communicate,573
872,educate,68
873,presentations,219
874,explanatory,25
875,generate,201
876,test,356
877,historical,55
878,master,506
879,accredited,114
880,college,121
881,viewpoint,42
882,intuitive,44
883,command,104
884,line,168
885,linux,209
886,mapreduce,124
887,hive,339
888,eighty,43
889,percent,60
890,authorized,97
891,visa,122
892,cotiviti,6
893,revolution,27
894,market,398
895,capability,71
896,expanding,55
897,backbone,14
898,networking,50
899,efficient,200
900,providers,65
901,given,96
902,specialists,36
903,auditors,5
904,innovators,34
905,aggressive,34
906,goals,276
907,ambitious,53
908,technologist,2
909,guts,4
910,flexibility,61
911,succeed,76
912,curious,109
913,enjoy,141
914,peeling,2
915,apart,20
916,examining,11
917,interrelationships,3
918,appear,6
919,superficially,3
920,creative,322
921,constantly,110
922,invent,36
923,approaches,372
924,often,51
925,times,69
926,never,82
927,contexts,18
928,before,104
929,practical,237
930,theories,20
931,improving,161
932,intent,29
933,technique,13
934,over,475
935,periods,11
936,days,98
937,weeks,57
938,discovering,41
939,optimized,29
940,further,94
941,furthermore,7
942,failure,15
943,trying,17
944,again,23
945,determined,20
946,challenge,109
947,backend,33
948,ground,99
949,therefore,28
950,comfortable,253
951,effort,48
952,doing,215
953,improve,730
954,architecting,29
955,class,352
956,quantifiable,6
957,value,637
958,establishing,39
959,sustaining,4
960,open,412
961,source,358
962,passion,401
963,creating,380
964,driving,297
965,collaborating,113
966,demands,43
967,spent,22
968,focus,370
969,deadlines,61
970,defined,62
971,function,115
972,carries,7
973,expectation,6
974,enhance,171
975,saas,44
976,integrates,11
977,algorithmic,95
978,logic,41
979,front,73
980,interfaces,57
981,meetings,81
982,advisors,19
983,regularly,56
984,matters,68
985,regarding,81
986,developments,35
987,substantial,38
988,portions,8
989,yourself,67
990,health,793
991,principles,111
992,agile,229
993,debugging,36
994,proficiency,380
995,fully,82
996,backends,2
997,node,27
998,scala,353
999,matlab,241
1000,neural,292
1001,networks,366
1002,include,525
1003,discrete,9
1004,event,38
1005,simulation,109
1006,factor,30
1007,bayesian,117
1008,probability,85
1009,markov,18
1010,sensitivity,9
1011,setup,11
1012,extremely,63
1013,datasets,461
1014,proficient,194
1015,yarn,12
1016,store,53
1017,example,79
1018,hbase,70
1019,cassandra,55
1020,technical,2067
1021,abilities,152
1022,engineer,430
1023,grid,15
1024,graphical,28
1025,unit,102
1026,elastic,24
1027,compute,50
1028,summary,137
1029,premier,44
1030,partner,418
1031,relus,3
1032,trusted,69
1033,advisor,21
1034,country,72
1035,seek,59
1036,empower,159
1037,bigger,22
1038,every,486
1039,need,604
1040,volumes,77
1041,against,157
1042,spectrum,17
1043,challenges,412
1044,director,82
1045,headquartered,86
1046,southeast,1
1047,workplaces,11
1048,check,88
1049,awards,21
1050,chronicle,1
1051,take,394
1052,advantage,72
1053,efficiencies,24
1054,cost,103
1055,savings,54
1056,quick,54
1057,guide,158
1058,beginning,34
1059,aggregating,9
1060,exploring,74
1061,building,1369
1062,validating,33
1063,deploying,141
1064,completed,37
1065,frameworks,308
1066,mxnet,32
1067,caffe,90
1068,tensorflow,316
1069,theano,67
1070,cntk,20
1071,keras,96
1072,sparkml,21
1073,drift,1
1074,retraining,2
1075,novel,180
1076,fpga,7
1077,ideal,259
1078,equivalent,436
1079,previous,111
1080,write,170
1081,code,509
1082,explainable,5
1083,libraries,158
1084,gpus,22
1085,terabyte,18
1086,size,71
1087,diving,23
1088,writing,203
1089,tuning,49
1090,competitive,386
1091,medical,482
1092,dental,190
1093,vision,556
1094,cell,12
1095,reimbursement,67
1096,interactive,65
1097,programs,293
1098,helps,199
1099,eliminate,17
1100,uncertainty,26
1101,train,70
1102,move,115
1103,faster,71
1104,core,383
1105,competencies,59
1106,migrations,1
1107,devops,26
1108,emphasis,71
1109,strategy,391
1110,managed,37
1111,talent,168
1112,reluscloud,1
1113,critical,351
1114,drivers,46
1115,arby,4
1116,order,276
1117,strategies,303
1118,forecasting,200
1119,numerous,17
1120,much,69
1121,impacted,5
1122,variables,24
1123,media,347
1124,spend,65
1125,promotions,13
1126,year,325
1127,macroeconomic,3
1128,factors,64
1129,metrics,376
1130,outputs,33
1131,used,313
1132,describe,46
1133,relationship,110
1134,independent,115
1135,dependent,28
1136,forecast,41
1137,identification,40
1138,improvement,181
1139,automated,170
1140,ingest,29
1141,cleanse,19
1142,vendors,55
1143,undergraduate,28
1144,graduate,109
1145,qualification,54
1146,querying,62
1147,fundamental,68
1148,prior,181
1149,theoretical,41
1150,messy,28
1151,missing,17
1152,inconsistent,1
1153,formatting,4
1154,clearly,132
1155,humility,19
1156,appreciation,13
1157,true,51
1158,teamwork,41
1159,sense,121
1160,humor,2
1161,restaurant,11
1162,restaurants,14
1163,shape,161
1164,minimal,54
1165,requiredjoin,1
1166,norfolk,18
1167,southern,20
1168,corporation,45
1169,latest,148
1170,cutting,340
1171,edge,384
1172,mechanical,13
1173,communications,142
1174,finance,250
1175,principal,119
1176,effectively,327
1177,utilize,154
1178,collaborates,36
1179,cases,138
1180,analysist,3
1181,statistician,30
1182,majors,4
1183,electrical,148
1184,licenses,11
1185,certifications,27
1186,none,18
1187,listed,61
1188,gradient,27
1189,boosting,53
1190,random,99
1191,forests,62
1192,svms,19
1193,sampling,47
1194,experimental,166
1195,stack,190
1196,especially,136
1197,pyspark,20
1198,sensor,60
1199,organizing,31
1200,considering,10
1201,alternatives,19
1202,conditions,100
1203,overview,89
1204,nyse,30
1205,nation,42
1206,transportation,94
1207,railway,3
1208,subsidiary,41
1209,operates,48
1210,approximately,45
1211,route,6
1212,miles,12
1213,states,266
1214,district,15
1215,columbia,9
1216,serves,50
1217,major,198
1218,container,15
1219,port,5
1220,eastern,4
1221,united,305
1222,connections,22
1223,rail,3
1224,carriers,9
1225,extensive,192
1226,intermodal,3
1227,east,13
1228,transporter,3
1229,coal,3
1230,automotive,50
1231,industrial,150
1232,employees,671
1233,together,309
1234,reputation,20
1235,thoroughbred,3
1236,veterans,124
1237,disabled,46
1238,leverages,34
1239,synthesize,62
1240,easily,66
1241,understood,31
1242,stories,67
1243,sharing,103
1244,gleaned,1
1245,develops,152
1246,utilizes,27
1247,standards,206
1248,very,205
1249,extract,166
1250,meaningful,222
1251,heuristics,9
1252,supervision,58
1253,once,26
1254,assignments,31
1255,prioritizes,3
1256,executes,14
1257,responsibilites,5
1258,accountabilities,12
1259,designs,104
1260,derive,84
1261,establishes,11
1262,scalable,369
1263,implementation,320
1264,ensures,47
1265,output,76
1266,displaying,9
1267,keen,44
1268,attention,152
1269,detail,183
1270,mentors,16
1271,seeks,51
1272,within,782
1273,skill,122
1274,home,204
1275,depot,16
1276,nature,75
1277,scope,103
1278,manager,158
1279,direct,221
1280,environmental,76
1281,indoor,18
1282,unpleasant,8
1283,would,215
1284,infrequent,9
1285,objectionable,8
1286,typically,54
1287,requires,223
1288,overnight,8
1289,less,60
1290,eighteen,8
1291,older,11
1292,permitted,8
1293,acquired,24
1294,completion,76
1295,study,146
1296,sitting,16
1297,frequent,30
1298,rare,35
1299,occasions,9
1300,lift,36
1301,light,36
1302,articles,31
1303,teradata,57
1304,comparable,20
1305,retrieve,24
1306,manipulate,53
1307,interpret,107
1308,billion,151
1309,rows,21
1310,thorough,53
1311,intermediate,43
1312,compiled,10
1313,merchandising,37
1314,weaknesses,8
1315,alternative,49
1316,foresee,3
1317,implications,25
1318,unquenchable,3
1319,curiosity,111
1320,getting,70
1321,underlying,65
1322,story,80
1323,told,4
1324,huge,90
1325,make,1067
1326,persuade,8
1327,inform,144
1328,influence,185
1329,taking,95
1330,quickly,250
1331,adapt,72
1332,techniquesjob,1
1333,title,68
1334,description,402
1335,disparate,62
1336,single,61
1337,entity,43
1338,entities,12
1339,typical,29
1340,matching,97
1341,graph,80
1342,theory,99
1343,qualitative,57
1344,validate,99
1345,clear,220
1346,essential,161
1347,functions,190
1348,documenting,20
1349,appropriate,330
1350,relationships,191
1351,prototyping,101
1352,quantify,29
1353,modifying,11
1354,inventing,8
1355,challenging,198
1356,resolution,46
1357,linking,11
1358,conducting,114
1359,benefit,171
1360,presenting,124
1361,measurements,32
1362,acumen,81
1363,finish,19
1364,address,170
1365,search,302
1366,solr,18
1367,robust,149
1368,hypothesis,93
1369,nosql,175
1370,reduce,84
1371,mongodb,46
1372,transforming,107
1373,useable,2
1374,primary,160
1375,atlantic,2
1376,white,22
1377,schedule,65
1378,city,184
1379,formattedlocationlong,2
1380,community,326
1381,keying,1
1382,requisition,16
1383,verbiage,1
1384,equifax,2
1385,airsage,1
1386,providing,346
1387,population,37
1388,mobility,14
1389,since,86
1390,term,196
1391,widely,7
1392,always,114
1393,contend,1
1394,billions,153
1395,daily,137
1396,records,105
1397,evolved,7
1398,custom,109
1399,file,26
1400,queuing,5
1401,manually,6
1402,partitioned,1
1403,clusters,30
1404,workhorses,1
1405,built,203
1406,kafka,66
1407,accumulo,9
1408,moving,68
1409,hybrid,22
1410,apis,102
1411,portals,9
1412,while,370
1413,keeping,23
1414,capacity,83
1415,premises,3
1416,offering,79
1417,date,121
1418,active,106
1419,stages,46
1420,life,564
1421,cycle,97
1422,initial,29
1423,discussions,40
1424,deployment,182
1425,review,165
1426,outside,89
1427,particularly,39
1428,choosing,18
1429,classify,17
1430,geospatial,59
1431,temporal,15
1432,features,322
1433,documentation,125
1434,defect,9
1435,reviews,91
1436,domain,178
1437,coming,41
1438,demonstrable,43
1439,survey,51
1440,experiment,95
1441,pattern,91
1442,empirical,29
1443,hard,171
1444,derived,31
1445,octave,10
1446,valued,39
1447,pylab,1
1448,jupiter,1
1449,parsing,22
1450,distributed,488
1451,zones,10
1452,postgresql,34
1453,postgis,3
1454,similar,404
1455,posting,42
1456,submitting,5
1457,history,136
1458,apply,833
1459,head,46
1460,hunters,2
1461,recruit,26
1462,employ,61
1463,compensate,3
1464,promote,65
1465,basis,276
1466,possess,79
1467,broad,196
1468,depth,152
1469,associated,65
1470,retail,212
1471,specifically,78
1472,person,187
1473,informs,13
1474,mentor,146
1475,guidance,133
1476,reinforce,1
1477,partnerships,74
1478,units,61
1479,variety,507
1480,scenarios,36
1481,newer,4
1482,platforms,485
1483,allow,68
1484,storage,131
1485,addition,117
1486,standard,125
1487,descriptive,34
1488,methodologies,291
1489,anomaly,77
1490,detection,217
1491,architectures,138
1492,codes,25
1493,interprets,14
1494,compiles,3
1495,charts,22
1496,tables,33
1497,framework,112
1498,evaluation,121
1499,optimize,278
1500,liaison,13
1501,leads,92
1502,consult,15
1503,selection,108
1504,utilization,33
1505,creation,123
1506,artifacts,4
1507,respect,85
1508,board,24
1509,tollgates,1
1510,envir,1
1511,onmental,1
1512,paraccel,1
1513,mahout,15
1514,spss,73
1515,presentation,208
1516,flexible,180
1517,responsive,16
1518,meet,245
1519,membersfull,1
1520,starting,27
1521,immediately,26
1522,insight,174
1523,particular,53
1524,skillsets,2
1525,desired,217
1526,deployable,7
1527,integrate,129
1528,actual,40
1529,asked,23
1530,thus,5
1531,proposal,11
1532,varied,35
1533,campus,18
1534,occasional,18
1535,branch,5
1536,gtri,1
1537,ranging,87
1538,spans,24
1539,devices,145
1540,smart,139
1541,cities,53
1542,traffic,41
1543,cybersecurity,27
1544,parallel,49
1545,simulations,31
1546,excited,144
1547,scalability,82
1548,length,4
1549,demonstrate,130
1550,span,33
1551,contracts,8
1552,government,189
1553,citizens,29
1554,clearance,95
1555,secret,38
1556,upon,115
1557,hire,189
1558,inclusionposition,1
1559,homedepot,4
1560,award,58
1561,winning,57
1562,commerce,116
1563,blazing,2
1564,trail,6
1565,shopping,76
1566,relentless,17
1567,named,82
1568,mission,539
1569,interconnected,7
1570,consumers,154
1571,dreamers,4
1572,thinkers,18
1573,imagining,3
1574,interested,173
1575,knows,21
1576,next,341
1577,idea,66
1578,just,300
1579,pioneers,7
1580,generation,264
1581,surprise,15
1582,delight,42
1583,partnering,64
1584,leaders,206
1585,turn,79
1586,reality,35
1587,game,126
1588,changing,244
1589,bottom,20
1590,segmentation,112
1591,personalized,142
1592,chat,9
1593,bots,12
1594,reasoning,25
1595,methodology,131
1596,peers,94
1597,continuously,90
1598,econometrics,124
1599,scikitlearn,10
1600,speak,30
1601,audience,161
1602,autonomy,55
1603,player,113
1604,google,909
1605,bigquery,25
1606,engine,81
1607,flow,38
1608,deployed,48
1609,visual,88
1610,resulting,39
1611,compelling,85
1612,investments,59
1613,membersoverview,1
1614,consultant,36
1615,practice,156
1616,capgemini,80
1617,footprint,17
1618,rapidly,233
1619,digital,546
1620,meaning,43
1621,entertainment,66
1622,everywhere,46
1623,worked,79
1624,created,57
1625,solved,34
1626,harnessed,4
1627,influx,4
1628,resources,191
1629,realm,7
1630,know,315
1631,aerospace,30
1632,defense,38
1633,banking,144
1634,consumer,355
1635,insurance,398
1636,sector,74
1637,telecom,18
1638,articulate,52
1639,articulating,24
1640,publicly,20
1641,feature,215
1642,engagement,171
1643,tier,62
1644,distributions,46
1645,variance,11
1646,chaid,6
1647,cart,18
1648,rule,14
1649,linear,170
1650,hierarchical,23
1651,mixed,23
1652,answer,139
1653,frequentist,10
1654,mastery,43
1655,packages,198
1656,pearl,4
1657,scikit,169
1658,kxen,4
1659,ecosystems,28
1660,hana,9
1661,logistic,71
1662,trees,105
1663,kmeans,6
1664,clustering,211
1665,rnns,18
1666,cnns,20
1667,pipelines,254
1668,scrapping,5
1669,powerpoint,67
1670,interpersonal,134
1671,valid,36
1672,authorization,109
1673,does,213
1674,require,145
1675,includes,231
1676,modeler,11
1677,miner,12
1678,importing,6
1679,cleaning,84
1680,drawing,14
1681,presented,28
1682,graphs,18
1683,storing,9
1684,input,48
1685,mechanisms,17
1686,profiling,23
1687,duplication,2
1688,standardization,6
1689,conversion,45
1690,loading,10
1691,archiving,3
1692,ensure,422
1693,backup,8
1694,feedback,139
1695,progressing,5
1696,lifecycle,99
1697,baseline,14
1698,encouraging,16
1699,genetics,76
1700,sensory,13
1701,referenced,8
1702,attempt,8
1703,traditionally,10
1704,performed,34
1705,whenever,11
1706,individuals,374
1707,disabilities,114
1708,reasonable,128
1709,accommodations,72
1710,might,54
1711,involve,56
1712,varying,59
1713,provided,56
1714,pose,10
1715,undue,13
1716,hardship,14
1717,click,83
1718,link,56
1719,rights,26
1720,applicant,101
1721,forefront,69
1722,entire,99
1723,breadth,41
1724,evolving,75
1725,heritage,18
1726,realize,41
1727,ambitions,26
1728,conviction,51
1729,comes,44
1730,multicultural,9
1731,reported,32
1732,revenues,20
1733,average,25
1734,rate,37
1735,count,19
1736,catalina,21
1737,connects,36
1738,shoppers,25
1739,brands,205
1740,want,355
1741,aisle,3
1742,purchase,49
1743,quarters,5
1744,million,171
1745,american,54
1746,largest,272
1747,shopper,9
1748,loyalty,34
1749,retailers,42
